City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
arraial do cabo,-22.97,-42.03,67.01,74,0,7.34,BR,2020-05-09
lasa,46.62,10.7,61.0,100,20,3.36,IT,2020-05-09
hilo,19.73,-155.09,73.4,78,40,4.7,US,2020-05-09
nanortalik,60.14,-45.24,36.99,76,0,8.28,GL,2020-05-09
clyde river,70.47,-68.59,10.4,92,90,19.46,CA,2020-05-09
sao filipe,14.9,-24.5,73.2,76,31,9.55,CV,2020-05-09
port blair,11.67,92.75,87.73,73,86,7.85,IN,2020-05-09
meulaboh,4.14,96.13,83.07,85,100,4.99,ID,2020-05-09
thompson,55.74,-97.86,23.0,79,5,11.41,CA,2020-05-09
hit,33.64,42.83,94.08,15,0,27.89,IQ,2020-05-09
lavrentiya,65.58,-171.0,32.49,93,14,10.16,RU,2020-05-09
dikson,73.51,80.55,30.47,97,100,18.9,RU,2020-05-09
urucui,-7.23,-44.56,73.9,85,6,3.15,BR,2020-05-09
iralaya,15.0,-83.23,80.69,85,100,9.13,HN,2020-05-09
matay,28.42,30.78,75.24,41,8,11.92,EG,2020-05-09
sturgeon falls,46.36,-79.93,28.0,85,90,8.05,CA,2020-05-09
tongren,27.72,109.19,75.0,78,99,4.12,CN,2020-05-09
east london,-33.02,27.91,68.0,82,0,4.7,ZA,2020-05-09
kalabo,-14.97,22.68,74.86,47,0,7.85,ZM,2020-05-09
port antonio,18.18,-76.46,82.4,74,20,8.05,JM,2020-05-09
pangkalanbuun,-2.68,111.62,77.88,86,100,2.13,ID,2020-05-09
san jeronimo,-11.95,-75.28,43.43,77,21,1.34,PE,2020-05-09
mar del plata,-38.0,-57.56,55.99,81,100,14.99,AR,2020-05-09
nadvoitsy,63.87,34.32,44.38,67,97,10.04,RU,2020-05-09
longyearbyen,78.22,15.64,23.0,67,40,14.99,SJ,2020-05-09
kavieng,-2.57,150.8,84.34,75,4,7.63,PG,2020-05-09
bilma,18.69,12.92,92.61,8,0,10.63,NE,2020-05-09
san quintin,30.48,-115.95,64.53,83,21,1.3,MX,2020-05-09
hobart,-42.88,147.33,50.0,76,75,6.93,AU,2020-05-09
medicine hat,50.05,-110.67,37.4,64,1,4.7,CA,2020-05-09
micheweni,-4.97,39.83,81.34,78,36,18.54,TZ,2020-05-09
opuwo,-18.06,13.84,73.74,26,0,17.9,NA,2020-05-09
nome,64.5,-165.41,42.8,74,1,14.99,US,2020-05-09
ensenada,31.87,-116.62,64.99,88,38,1.99,MX,2020-05-09
chokurdakh,70.63,147.92,31.48,98,100,7.45,RU,2020-05-09
taoudenni,22.68,-3.98,92.35,22,41,7.67,ML,2020-05-09
toucheng,24.86,121.82,95.0,59,40,9.17,TW,2020-05-09
punta arenas,-53.15,-70.92,44.6,93,75,6.93,CL,2020-05-09
jamestown,42.1,-79.24,24.8,68,20,12.75,US,2020-05-09
mehamn,71.04,27.85,34.21,86,100,15.5,NO,2020-05-09
busselton,-33.65,115.33,64.99,38,0,3.31,AU,2020-05-09
santa luzia,-19.77,-43.85,53.6,100,51,5.12,BR,2020-05-09
port hardy,50.7,-127.42,48.2,76,75,2.24,CA,2020-05-09
hearst,49.68,-83.67,19.35,98,93,5.14,CA,2020-05-09
bodden town,19.28,-81.25,81.0,88,100,3.0,KY,2020-05-09
castro,-24.79,-50.01,49.37,92,96,7.09,BR,2020-05-09
goderich,43.75,-81.72,36.0,54,100,4.0,CA,2020-05-09
adrar,20.5,-10.07,83.93,14,41,13.91,MR,2020-05-09
butaritari,3.07,172.79,83.86,75,89,7.47,KI,2020-05-09
buraydah,26.33,43.98,91.4,41,20,10.29,SA,2020-05-09
elko,41.0,-115.5,55.4,17,1,12.75,US,2020-05-09
new norfolk,-42.78,147.06,48.99,76,100,2.66,AU,2020-05-09
barrow,71.29,-156.79,21.2,85,90,10.29,US,2020-05-09
katherine,-14.47,132.27,91.4,26,40,13.87,AU,2020-05-09
pekan,3.48,103.4,91.4,70,20,6.93,MY,2020-05-09
almaznyy,48.04,40.05,57.2,62,40,13.42,RU,2020-05-09
tasiilaq,65.61,-37.64,26.6,86,100,5.82,GL,2020-05-09
ahipara,-35.17,173.17,58.77,82,25,3.8,NZ,2020-05-09
singkang,2.1,102.8,91.4,63,40,4.7,MY,2020-05-09
lagoa,39.05,-27.98,62.06,91,48,13.35,PT,2020-05-09
green river,41.53,-109.47,33.8,80,1,5.82,US,2020-05-09
srednekolymsk,67.45,153.68,34.03,95,86,8.39,RU,2020-05-09
cidreira,-30.18,-50.21,57.47,83,0,7.16,BR,2020-05-09
buala,-8.14,159.59,82.54,79,2,5.68,SB,2020-05-09
gravelbourg,49.88,-106.55,39.81,79,100,16.87,CA,2020-05-09
ewa beach,21.32,-158.01,73.4,64,1,5.82,US,2020-05-09
ciudad del maiz,22.4,-99.6,63.0,72,68,4.65,MX,2020-05-09
geraldton,-28.77,114.6,71.6,43,100,19.46,AU,2020-05-09
ulaanbaatar,47.91,106.88,42.8,38,75,20.13,MN,2020-05-09
georgetown,5.41,100.34,89.6,70,20,8.05,MY,2020-05-09
bredasdorp,-34.53,20.04,62.6,82,71,8.05,ZA,2020-05-09
ouro preto do oeste,-10.75,-62.22,66.07,94,100,4.34,BR,2020-05-09
yulara,-25.24,130.99,73.4,23,97,12.75,AU,2020-05-09
hobyo,5.35,48.53,88.0,60,3,7.7,SO,2020-05-09
camana,-16.62,-72.71,66.06,78,63,6.15,PE,2020-05-09
porto santo,33.07,-16.34,66.2,68,40,12.75,PT,2020-05-09
antalaha,-14.9,50.28,81.1,72,100,10.92,MG,2020-05-09
tonj,7.27,28.68,84.02,59,99,5.26,SS,2020-05-09
narsaq,60.92,-46.05,50.0,19,0,21.92,GL,2020-05-09
balkhash,46.84,74.98,78.8,29,100,13.42,KZ,2020-05-09
jeremie,18.65,-74.12,78.03,78,100,5.28,HT,2020-05-09
leh,34.17,77.58,49.95,39,100,4.54,IN,2020-05-09
chuy,-33.7,-53.46,48.72,85,3,7.05,UY,2020-05-09
kodiak,57.79,-152.41,44.6,87,90,18.34,US,2020-05-09
hirara,24.8,125.28,82.4,74,40,11.41,JP,2020-05-09
taltal,-25.4,-70.48,58.62,76,59,2.57,CL,2020-05-09
codrington,-38.27,141.97,48.13,69,81,20.69,AU,2020-05-09
asosa,10.07,34.53,79.93,42,100,3.56,ET,2020-05-09
mount isa,-20.73,139.5,89.6,14,100,12.75,AU,2020-05-09
bougouni,11.42,-7.48,84.83,52,18,8.3,ML,2020-05-09
mahon,39.89,4.27,66.2,88,75,9.17,ES,2020-05-09
hami,42.8,93.45,81.25,12,0,14.56,CN,2020-05-09
brae,60.4,-1.35,44.6,65,100,5.82,GB,2020-05-09
nalut,30.33,10.85,86.67,17,55,17.2,LY,2020-05-09
lebu,-37.62,-73.65,55.67,92,13,7.09,CL,2020-05-09
quelimane,-17.88,36.89,73.4,88,40,5.82,MZ,2020-05-09
bandarbeyla,9.49,50.81,88.45,50,0,6.02,SO,2020-05-09
nikolskoye,59.7,30.79,57.0,62,20,11.18,RU,2020-05-09
lorengau,-2.02,147.27,83.79,75,32,6.89,PG,2020-05-09
rawson,-43.3,-65.1,64.24,43,57,30.09,AR,2020-05-09
pevek,69.7,170.31,36.72,79,21,5.06,RU,2020-05-09
kuytun,54.34,101.5,54.79,40,100,11.3,RU,2020-05-09
grants pass,42.44,-123.33,62.6,63,1,0.92,US,2020-05-09
nantucket,41.28,-70.1,50.0,93,90,20.8,US,2020-05-09
victoria,22.29,114.16,87.01,70,85,13.0,HK,2020-05-09
san bartolome de tirajana,27.92,-15.57,68.0,68,20,3.36,ES,2020-05-09
menongue,-14.66,17.69,70.34,47,0,7.96,AO,2020-05-09
mareeba,-17.0,145.43,78.8,65,95,12.75,AU,2020-05-09
norman wells,65.28,-126.83,30.2,80,5,8.05,CA,2020-05-09
bethel,41.37,-73.41,33.01,89,70,3.0,US,2020-05-09
nouadhibou,20.93,-17.03,64.4,88,0,18.34,MR,2020-05-09
bonfim,3.08,-59.95,75.52,85,70,8.66,BR,2020-05-09
luganville,-15.53,167.17,77.23,79,28,7.34,VU,2020-05-09
santo amaro da imperatriz,-27.69,-48.78,64.99,87,20,5.82,BR,2020-05-09
kupang,-10.17,123.58,89.6,46,40,19.46,ID,2020-05-09
bathsheba,13.22,-59.52,78.8,74,40,16.11,BB,2020-05-09
terra santa,-2.1,-56.49,73.87,97,80,1.28,BR,2020-05-09
sitka,57.05,-135.33,60.8,36,75,9.17,US,2020-05-09
mabaruma,8.2,-59.78,72.34,97,79,3.22,GY,2020-05-09
tuktoyaktuk,69.45,-133.04,26.17,97,0,14.74,CA,2020-05-09
berberati,4.26,15.79,75.2,94,75,4.7,CF,2020-05-09
ivaipora,-24.25,-51.68,47.59,84,0,6.58,BR,2020-05-09
portland,45.52,-122.68,69.8,30,1,16.11,US,2020-05-09
orange cove,36.62,-119.31,71.01,60,1,3.87,US,2020-05-09
torbay,47.67,-52.73,39.0,100,90,16.11,CA,2020-05-09
mahebourg,-20.41,57.7,80.6,65,40,9.17,MU,2020-05-09
gamboma,-1.88,15.86,83.1,66,98,1.88,CG,2020-05-09
smidovich,48.6,133.82,68.9,32,100,6.78,RU,2020-05-09
luau,-10.71,22.22,75.51,59,4,6.82,AO,2020-05-09
saint-philippe,-21.36,55.77,80.6,65,20,11.41,RE,2020-05-09
hermanus,-34.42,19.23,65.79,72,4,8.88,ZA,2020-05-09
bengkulu,-3.8,102.27,85.68,72,100,8.61,ID,2020-05-09
matara,5.95,80.54,88.09,70,59,9.06,LK,2020-05-09
quarai,-30.39,-56.45,45.77,83,45,6.76,BR,2020-05-09
tiznit,29.58,-9.5,59.95,79,89,5.77,MA,2020-05-09
gardabani,41.46,45.09,51.8,71,90,27.51,GE,2020-05-09
chabahar,25.29,60.64,88.36,49,0,8.84,IR,2020-05-09
guerrero negro,27.98,-114.06,64.92,81,0,6.82,MX,2020-05-09
maua,-23.67,-46.46,57.2,76,90,5.82,BR,2020-05-09
batemans bay,-35.72,150.18,64.0,50,0,4.61,AU,2020-05-09
soyo,-6.13,12.37,80.6,94,75,1.97,AO,2020-05-09
talnakh,69.49,88.4,30.2,100,75,17.9,RU,2020-05-09
avarua,-21.21,-159.78,78.8,83,8,11.41,CK,2020-05-09
bambous virieux,-20.34,57.76,84.0,65,40,9.17,MU,2020-05-09
constitucion,-35.33,-72.42,54.23,92,62,2.98,CL,2020-05-09
lingdong,46.57,131.15,63.18,57,100,5.57,CN,2020-05-09
estevan,49.13,-102.98,37.4,86,90,12.75,CA,2020-05-09
faya,18.39,42.45,78.8,31,20,8.05,SA,2020-05-09
ribeira grande,38.52,-28.7,60.8,93,75,9.17,PT,2020-05-09
salalah,17.02,54.09,87.8,70,40,13.87,OM,2020-05-09
iqaluit,63.75,-68.51,32.0,98,90,2.24,CA,2020-05-09
siocon,7.71,122.14,87.15,70,24,5.61,PH,2020-05-09
bihar,47.15,21.92,66.2,34,95,6.93,RO,2020-05-09
vestmannaeyjar,63.44,-20.27,38.75,72,63,6.58,IS,2020-05-09
hamilton,39.18,-84.53,32.0,80,1,5.23,US,2020-05-09
airai,-8.93,125.41,65.55,100,79,3.56,TL,2020-05-09
ostrovnoy,68.05,39.51,35.58,86,0,12.82,RU,2020-05-09
diffa,13.32,12.61,96.98,21,29,0.67,NE,2020-05-09
caravelas,-17.71,-39.25,72.99,72,98,12.1,BR,2020-05-09
gwadar,25.12,62.33,89.42,51,0,8.7,PK,2020-05-09
faanui,-16.48,-151.75,82.24,80,13,14.72,PF,2020-05-09
lebanon,36.21,-86.29,39.0,86,20,4.85,US,2020-05-09
saldanha,-33.01,17.94,59.0,77,0,1.12,ZA,2020-05-09
ilulissat,69.22,-51.1,26.6,79,100,3.36,GL,2020-05-09
ornes,66.87,13.71,32.0,86,75,4.7,NO,2020-05-09
dickinson,29.46,-95.05,71.01,77,90,9.17,US,2020-05-09
hualmay,-11.1,-77.61,66.36,86,74,8.21,PE,2020-05-09
hulan,45.98,126.6,71.01,34,100,1.95,CN,2020-05-09
port elizabeth,-33.92,25.57,66.2,82,0,4.7,ZA,2020-05-09
igarka,67.47,86.58,35.74,99,100,12.59,RU,2020-05-09
nevelsk,46.67,141.86,64.4,20,100,6.71,RU,2020-05-09
juneau,58.3,-134.42,48.99,75,40,3.36,US,2020-05-09
nasice,45.49,18.09,75.0,41,99,3.8,HR,2020-05-09
qujing,25.48,103.78,84.74,15,0,19.15,CN,2020-05-09
aykhal,66.0,111.5,35.6,47,99,8.95,RU,2020-05-09
zhigansk,66.77,123.37,23.88,90,100,5.41,RU,2020-05-09
saint anthony,45.02,-93.22,37.4,62,1,3.42,US,2020-05-09
severo-kurilsk,50.68,156.12,34.18,89,81,16.71,RU,2020-05-09
davidson,36.15,-86.78,41.0,75,1,5.93,US,2020-05-09
coquimbo,-29.95,-71.34,57.2,82,59,2.24,CL,2020-05-09
muros,42.78,-9.06,60.01,80,100,8.99,ES,2020-05-09
payakumbuh,-0.22,100.63,83.7,74,99,2.53,ID,2020-05-09
bonthe,7.53,-12.51,81.36,86,73,2.75,SL,2020-05-09
cartagena del chaira,1.33,-74.84,71.26,98,100,1.45,CO,2020-05-09
deputatskiy,69.3,139.9,27.57,98,100,4.43,RU,2020-05-09
atar,20.52,-13.05,80.35,18,15,13.98,MR,2020-05-09
oktyabrskiy,54.48,53.47,77.52,32,0,14.83,RU,2020-05-09
vardo,70.37,31.11,35.49,79,99,5.1,NO,2020-05-09
ancud,-41.87,-73.82,52.0,93,20,9.17,CL,2020-05-09
pacific grove,36.62,-121.92,53.6,87,90,6.93,US,2020-05-09
north bend,43.41,-124.22,54.0,87,1,3.36,US,2020-05-09
tilichiki,60.47,166.1,30.18,100,100,9.91,RU,2020-05-09
januaria,-15.48,-44.37,64.8,86,100,5.21,BR,2020-05-09
beloha,-25.17,45.05,76.5,54,19,16.71,MG,2020-05-09
paracatu,-17.22,-46.87,62.04,98,53,5.21,BR,2020-05-09
tanda,26.55,82.65,104.9,14,0,3.47,IN,2020-05-09
bhusawal,21.05,75.77,109.45,12,0,6.46,IN,2020-05-09
grand gaube,-20.01,57.66,84.0,64,1,1.99,MU,2020-05-09
barcelos,41.54,-8.62,59.0,77,20,12.75,PT,2020-05-09
kahului,20.89,-156.47,75.2,69,75,16.11,US,2020-05-09
adolfo lopez mateos,28.47,-107.3,46.0,89,100,1.01,MX,2020-05-09
yeppoon,-23.13,150.73,75.2,64,90,9.17,AU,2020-05-09
karratha,-20.74,116.85,86.13,29,93,15.1,AU,2020-05-09
csavoly,46.19,19.15,66.04,54,90,4.94,HU,2020-05-09
toamasina,-18.17,49.38,73.4,94,75,9.17,MG,2020-05-09
rocha,-34.48,-54.33,44.53,89,40,6.33,UY,2020-05-09
ormond beach,29.29,-81.06,64.99,93,1,3.36,US,2020-05-09
derzhavinsk,51.1,66.32,77.38,34,62,20.74,KZ,2020-05-09
cao bang,22.67,106.25,98.85,38,17,7.99,VN,2020-05-09
sao jose da coroa grande,-8.9,-35.15,76.59,84,82,6.08,BR,2020-05-09
severo-yeniseyskiy,60.37,93.04,59.61,59,100,14.05,RU,2020-05-09
samfya,-11.36,29.56,70.0,65,19,10.09,ZM,2020-05-09
vidim,56.41,103.11,53.91,42,100,8.75,RU,2020-05-09
alofi,-19.06,-169.92,78.8,88,81,4.7,NU,2020-05-09
upernavik,72.79,-56.15,20.39,94,100,10.85,GL,2020-05-09
shitanjing,39.23,106.34,66.45,20,0,16.42,CN,2020-05-09
kiama,-34.68,150.87,69.01,54,9,11.01,AU,2020-05-09
kefamenanu,-9.45,124.48,76.69,79,100,8.14,ID,2020-05-09
kota tinggi,1.74,103.9,93.99,63,40,4.7,MY,2020-05-09
douglas,41.3,-96.17,42.01,86,1,1.16,US,2020-05-09
kangundo,-1.3,37.35,73.65,64,55,5.12,KE,2020-05-09
kaitangata,-46.28,169.85,52.0,75,56,1.99,NZ,2020-05-09
punta alta,-38.88,-62.07,58.8,65,97,20.0,AR,2020-05-09
acari,-15.43,-74.62,69.6,69,69,2.24,PE,2020-05-09
abha,18.22,42.51,78.8,31,20,8.05,SA,2020-05-09
provost,52.35,-110.27,41.0,69,20,7.02,CA,2020-05-09
lichuan,30.3,108.85,64.13,90,92,2.75,CN,2020-05-09
anadyr,64.75,177.48,37.4,74,100,40.26,RU,2020-05-09
aklavik,68.22,-135.01,39.2,55,5,10.29,CA,2020-05-09
carrick-on-suir,52.35,-7.41,57.99,89,100,2.13,IE,2020-05-09
gimli,50.63,-96.99,34.0,81,100,13.53,CA,2020-05-09
tsabong,-26.02,22.4,72.59,28,0,9.55,BW,2020-05-09
asyut,27.18,31.18,76.48,34,0,15.55,EG,2020-05-09
chake chake,-5.25,39.77,81.52,78,40,15.9,TZ,2020-05-09
vestmanna,62.16,-7.17,37.4,89,79,14.99,FO,2020-05-09
cubuk,40.24,33.03,54.0,37,20,5.82,TR,2020-05-09
tawau,4.25,117.89,89.6,75,20,5.82,MY,2020-05-09
puerto ayora,-0.74,-90.35,75.99,95,32,6.4,EC,2020-05-09
tando adam,25.76,68.66,102.2,40,0,11.41,PK,2020-05-09
eldorado,-23.79,-54.28,50.7,74,0,4.94,BR,2020-05-09
berlevag,70.86,29.09,34.0,87,83,11.99,NO,2020-05-09
manakara,-22.13,48.02,75.27,75,19,6.17,MG,2020-05-09
cervo,43.67,-7.41,59.0,1,99,1.39,ES,2020-05-09
san policarpo,12.18,125.51,84.31,72,56,8.75,PH,2020-05-09
klaksvik,62.23,-6.59,37.4,86,96,14.99,FO,2020-05-09
high level,58.52,-117.14,35.6,74,1,4.7,CA,2020-05-09
mitu,1.2,-70.17,70.81,98,99,1.61,CO,2020-05-09
rafsanjan,30.41,55.99,80.29,16,56,2.64,IR,2020-05-09
urumqi,43.8,87.6,80.6,10,0,8.95,CN,2020-05-09
tacuarembo,-31.73,-55.98,44.42,87,81,6.13,UY,2020-05-09
lata,40.16,-8.33,62.01,87,100,3.0,PT,2020-05-09
broome,42.25,-75.83,27.0,79,75,16.11,US,2020-05-09
leshukonskoye,64.9,45.76,47.86,63,54,3.87,RU,2020-05-09
yellowknife,62.46,-114.35,32.0,94,75,14.99,CA,2020-05-09
anuchino,43.96,133.05,64.65,51,87,3.11,RU,2020-05-09
pisco,-13.7,-76.22,64.4,88,98,6.93,PE,2020-05-09
miraflores,19.22,-98.81,60.01,77,75,4.7,MX,2020-05-09
khani,41.96,42.96,57.2,76,90,6.93,GE,2020-05-09
piranhas,-16.43,-51.82,64.18,79,5,6.82,BR,2020-05-09
batagay-alyta,67.8,130.41,24.57,93,100,3.22,RU,2020-05-09
anito,12.45,125.29,85.05,67,27,7.78,PH,2020-05-09
sukhothai,17.25,99.67,106.0,47,20,5.82,TH,2020-05-09
luderitz,-26.65,15.16,55.4,87,0,3.36,NA,2020-05-09
kokopo,-4.35,152.26,81.7,80,0,10.67,PG,2020-05-09
seoul,37.57,126.98,62.6,100,90,12.75,KR,2020-05-09
shar,49.59,81.05,75.78,23,0,3.8,KZ,2020-05-09
tiksi,71.69,128.87,24.39,96,100,6.55,RU,2020-05-09
nemuro,43.32,145.57,66.2,37,40,17.22,JP,2020-05-09
prince rupert,54.32,-130.32,55.17,64,98,2.86,CA,2020-05-09
laguna,38.42,-121.42,68.0,52,1,3.36,US,2020-05-09
ipua,-20.44,-48.01,57.4,88,0,4.61,BR,2020-05-09
hammerfest,70.66,23.68,32.0,93,40,19.46,NO,2020-05-09
teguldet,57.31,88.17,71.02,42,16,9.44,RU,2020-05-09
ukiah,39.15,-123.21,62.6,55,1,2.19,US,2020-05-09
lahaina,20.88,-156.68,75.2,69,75,16.11,US,2020-05-09
hofn,64.25,-15.21,31.82,83,91,8.57,IS,2020-05-09
avera,33.19,-82.53,55.4,93,1,6.93,US,2020-05-09
bismarck,46.81,-100.78,48.2,61,90,3.36,US,2020-05-09
leningradskiy,69.38,178.42,29.91,94,99,9.48,RU,2020-05-09
key west,24.56,-81.78,78.8,78,1,4.7,US,2020-05-09
labuhan,-6.88,112.21,85.64,75,100,9.95,ID,2020-05-09
antalya,36.77,30.72,73.4,31,0,16.11,TR,2020-05-09
tual,-5.67,132.75,83.37,76,0,18.88,ID,2020-05-09
san cristobal,7.77,-72.22,66.47,87,95,5.06,VE,2020-05-09
cabo san lucas,22.89,-109.91,70.0,72,0,9.91,MX,2020-05-09
sao gabriel da cachoeira,-0.13,-67.09,72.45,98,100,1.07,BR,2020-05-09
hereford,52.06,-2.71,61.0,81,82,4.18,GB,2020-05-09
port lincoln,-34.73,135.87,55.58,61,51,15.35,AU,2020-05-09
owando,-0.48,15.9,82.96,65,78,2.28,CG,2020-05-09
yumen,40.28,97.2,70.36,14,100,16.69,CN,2020-05-09
tutoia,-2.76,-42.27,75.96,91,100,5.7,BR,2020-05-09
chunoyar,57.45,97.32,59.81,47,93,9.66,RU,2020-05-09
ko samui,9.54,99.94,91.4,63,20,8.05,TH,2020-05-09
richards bay,-28.78,32.04,74.77,68,32,3.47,ZA,2020-05-09
mutoko,-17.4,32.23,69.98,44,0,3.71,ZW,2020-05-09
esil,51.96,66.4,77.13,27,99,20.33,KZ,2020-05-09
chipinge,-20.19,32.62,67.64,57,17,5.86,ZW,2020-05-09
areka,7.07,37.7,71.28,74,93,2.66,ET,2020-05-09
perevolotskiy,51.88,54.19,77.13,34,0,14.09,RU,2020-05-09
benguela,-12.58,13.41,80.6,83,20,4.83,AO,2020-05-09
neryungri,56.67,124.65,37.98,71,80,9.8,RU,2020-05-09
henties bay,-22.12,14.28,78.62,32,0,8.37,NA,2020-05-09
gazli,40.13,63.45,74.89,43,71,15.21,UZ,2020-05-09
nyuksenitsa,60.41,44.24,56.21,56,22,5.39,RU,2020-05-09
asau,46.43,26.4,61.0,63,100,3.36,RO,2020-05-09
tomball,30.1,-95.62,64.99,63,20,6.93,US,2020-05-09
husavik,66.04,-17.34,30.2,63,20,5.82,IS,2020-05-09
pak phanang,8.35,100.2,95.0,63,40,9.17,TH,2020-05-09
seabra,-12.42,-41.77,61.61,93,80,3.31,BR,2020-05-09
hasaki,35.73,140.83,68.0,63,75,12.75,JP,2020-05-09
saint-augustin,51.23,-58.65,35.11,96,100,10.45,CA,2020-05-09
hovd,48.01,91.64,52.16,39,40,7.7,MN,2020-05-09
penzance,50.12,-5.54,59.0,58,85,11.88,GB,2020-05-09
staunton,38.15,-79.07,33.8,64,75,3.36,US,2020-05-09
burns lake,54.23,-125.75,44.83,65,18,3.94,CA,2020-05-09
tiarei,-17.53,-149.33,82.4,74,20,3.36,PF,2020-05-09
haines junction,60.75,-137.51,44.42,57,25,1.72,CA,2020-05-09
yamada,39.47,141.95,64.38,62,100,6.8,JP,2020-05-09
petropavlovsk-kamchatskiy,53.05,158.65,48.2,34,64,13.42,RU,2020-05-09
fortuna,40.6,-124.16,52.0,100,90,3.18,US,2020-05-09
santo angelo,-28.3,-54.26,50.38,75,0,6.44,BR,2020-05-09
namibe,-15.2,12.15,80.6,54,0,8.05,AO,2020-05-09
el campo,29.2,-96.27,66.99,63,90,10.29,US,2020-05-09
pimentel,-6.84,-79.93,67.48,89,64,10.36,PE,2020-05-09
povrly,50.67,14.16,63.0,57,98,2.35,CZ,2020-05-09
ayia galini,35.1,24.68,69.01,45,0,5.99,GR,2020-05-09
nishihara,26.18,127.76,80.6,88,75,11.41,JP,2020-05-09
inongo,-1.95,18.27,77.52,77,53,1.7,CD,2020-05-09
kajaani,64.23,27.73,37.4,100,90,5.82,FI,2020-05-09
los llanos de aridane,28.66,-17.92,69.8,73,20,3.36,ES,2020-05-09
kununurra,-15.77,128.73,93.2,23,99,9.17,AU,2020-05-09
puerto baquerizo moreno,-0.9,-89.6,75.87,91,61,9.28,EC,2020-05-09
maniitsoq,65.42,-52.9,37.58,77,100,0.89,GL,2020-05-09
moindou,-21.69,165.68,69.8,77,79,8.05,NC,2020-05-09
port pirie,-33.18,138.02,62.6,48,2,14.99,AU,2020-05-09
merauke,-8.47,140.33,82.9,77,4,18.39,ID,2020-05-09
lisakovsk,52.54,62.49,79.57,28,77,21.5,KZ,2020-05-09
dabhol,17.6,73.17,92.64,47,0,12.3,IN,2020-05-09
baykit,61.67,96.37,61.99,56,100,11.34,RU,2020-05-09
harper,4.38,-7.72,81.82,82,100,3.29,LR,2020-05-09
oussouye,12.48,-16.55,73.4,88,80,6.93,SN,2020-05-09
lilongwe,-13.97,33.79,64.4,68,20,11.41,MW,2020-05-09
ponta do sol,32.67,-17.1,66.2,72,20,2.24,PT,2020-05-09
namatanai,-3.67,152.43,82.35,80,12,7.72,PG,2020-05-09
bassila,9.01,1.67,79.79,81,91,4.03,BJ,2020-05-09
flinders,-34.58,150.86,69.01,58,4,1.01,AU,2020-05-09
naze,28.37,129.48,75.2,88,75,9.17,JP,2020-05-09
